GoogleYaw, -1.03506 GooglePitch, -0.0258478 GoogleRoll, 0.00363712
pack:0 ax, -0.00746155 ay, 0.261185 az, 9.75156
GoogleYaw, -1.03506 GooglePitch, -0.0258478 GoogleRoll, 0.00363712
pack:0 ax, -0.00746155 ay, 0.261185 az, 9.75156
GoogleYaw, -1.03506 GooglePitch, -0.0258478 GoogleRoll, 0.00363712
pack:0 ax, -0.00746155 ay, 0.261185 az, 9.75156
GoogleYaw, -1.03485 GooglePitch, -0.0257416 GoogleRoll, 0.00360395
pack:0 ax, -0.0479279 ay, 0.268326 az, 9.79916
GoogleYaw, -1.03481 GooglePitch, -0.0257672 GoogleRoll, 0.00350805
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.80392
GoogleYaw, -1.03481 GooglePitch, -0.0257672 GoogleRoll, 0.00350805
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.80392
GoogleYaw, -1.03481 GooglePitch, -0.0257672 GoogleRoll, 0.00350805
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.80392
GoogleYaw, -1.03489 GooglePitch, -0.0258019 GoogleRoll, 0.00354315
pack:0 ax, -0.0193634 ay, 0.235001 az, 9.73489
GoogleYaw, -1.03489 GooglePitch, -0.0258019 GoogleRoll, 0.00354315
pack:0 ax, -0.0193634 ay, 0.235001 az, 9.73489
GoogleYaw, -1.03486 GooglePitch, -0.0258311 GoogleRoll, 0.00345083
pack:0 ax, -0.0693512 ay, 0.280228 az, 9.82773
GoogleYaw, -1.03486 GooglePitch, -0.0258311 GoogleRoll, 0.00345083
pack:0 ax, -0.0693512 ay, 0.280228 az, 9.82773
GoogleYaw, -1.03486 GooglePitch, -0.0258311 GoogleRoll, 0.00345083
pack:0 ax, -0.0693512 ay, 0.280228 az, 9.82773
GoogleYaw, -1.03475 GooglePitch, -0.0257865 GoogleRoll, 0.00341086
pack:0 ax, -0.0407867 ay, 0.29689 az, 9.73965
GoogleYaw, -1.03475 GooglePitch, -0.0257865 GoogleRoll, 0.00341086
