GoogleYaw, -0.877295 GooglePitch, -0.0267596 GoogleRoll, 0.00283836
pack:0 ax, 0.0211029 ay, 0.258804 az, 9.7468
GoogleYaw, -0.877295 GooglePitch, -0.0267596 GoogleRoll, 0.00283836
pack:0 ax, 0.0211029 ay, 0.258804 az, 9.7468
GoogleYaw, -0.877295 GooglePitch, -0.0267596 GoogleRoll, 0.00283836
pack:0 ax, 0.0211029 ay, 0.258804 az, 9.7468
GoogleYaw, -0.877295 GooglePitch, -0.0267596 GoogleRoll, 0.00283836
pack:0 ax, 0.0211029 ay, 0.258804 az, 9.7468
GoogleYaw, -0.877255 GooglePitch, -0.0267684 GoogleRoll, 0.00278984
pack:0 ax, -0.0146027 ay, 0.265945 az, 9.78488
GoogleYaw, -0.877255 GooglePitch, -0.0267684 GoogleRoll, 0.00278984
pack:0 ax, -0.0146027 ay, 0.265945 az, 9.78488
GoogleYaw, -0.877255 GooglePitch, -0.0267684 GoogleRoll, 0.00278984
pack:0 ax, -0.0146027 ay, 0.265945 az, 9.78488
GoogleYaw, -0.877074 GooglePitch, -0.0267596 GoogleRoll, 0.00263309
pack:0 ax, -0.0146027 ay, 0.265945 az, 9.78488
GoogleYaw, -0.877074 GooglePitch, -0.0267596 GoogleRoll, 0.00263309
pack:0 ax, -0.0312653 ay, 0.289749 az, 9.82535
GoogleYaw, -0.877056 GooglePitch, -0.0267616 GoogleRoll, 0.00261438
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.75394
GoogleYaw, -0.877056 GooglePitch, -0.0267616 GoogleRoll, 0.00261438
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.75394
GoogleYaw, -0.877209 GooglePitch, -0.0268616 GoogleRoll, 0.0026328
pack:0 ax, -0.0503082 ay, 0.277847 az, 9.7468
GoogleYaw, -0.877209 GooglePitch, -0.0268616 GoogleRoll, 0.0026328
pack:0 ax, -0.0503082 ay, 0.277847 az, 9.7468
GoogleYaw, -0.877209 GooglePitch, -0.0268616 GoogleRoll, 0.0026328
pack:0 ax, -0.0503082 ay, 0.277847 az, 9.7468
GoogleYaw, -0.877209 GooglePitch, -0.0268616 GoogleRoll, 0.0026328
pack:0 ax, -0.0503082 ay, 0.277847 az, 9.7468
GoogleYaw, -0.877291 GooglePitch, -0.0269343 GoogleRoll, 0.00261848
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.7587
GoogleYaw, -0.877291 GooglePitch, -0.0269343 GoogleRoll, 0.00261848
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.7587
GoogleYaw, -0.877291 GooglePitch, -0.0269343 GoogleRoll, 0.00261848
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.7587
GoogleYaw, -0.877291 GooglePitch, -0.0269343 GoogleRoll, 0.00261848
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.7587
