GoogleYaw, 0.328718 GooglePitch, -0.0280414 GoogleRoll, 0.00984751
pack:0 ax, -0.109818 ay, 0.306412 az, 9.60873
GoogleYaw, 0.328718 GooglePitch, -0.0280414 GoogleRoll, 0.00984751
pack:0 ax, -0.109818 ay, 0.306412 az, 9.60873
GoogleYaw, 0.328718 GooglePitch, -0.0280414 GoogleRoll, 0.00984751
pack:0 ax, -0.109818 ay, 0.306412 az, 9.60873
GoogleYaw, 0.328718 GooglePitch, -0.0280414 GoogleRoll, 0.00984751
pack:0 ax, -0.109818 ay, 0.306412 az, 9.60873
GoogleYaw, 0.328607 GooglePitch, -0.0281527 GoogleRoll, 0.00995083
pack:0 ax, -0.0907745 ay, 0.246902 az, 9.77774
GoogleYaw, 0.328607 GooglePitch, -0.0281527 GoogleRoll, 0.00995083
pack:0 ax, -0.109818 ay, 0.254044 az, 9.63968
GoogleYaw, 0.328829 GooglePitch, -0.0281855 GoogleRoll, 0.0098331
pack:0 ax, -0.133621 ay, 0.258804 az, 9.56827
GoogleYaw, 0.328829 GooglePitch, -0.0281855 GoogleRoll, 0.0098331
pack:0 ax, -0.133621 ay, 0.258804 az, 9.56827
GoogleYaw, 0.328829 GooglePitch, -0.0281855 GoogleRoll, 0.0098331
pack:0 ax, -0.133621 ay, 0.258804 az, 9.56827
GoogleYaw, 0.328829 GooglePitch, -0.0281855 GoogleRoll, 0.0098331
pack:0 ax, -0.133621 ay, 0.258804 az, 9.56827
GoogleYaw, 0.328409 GooglePitch, -0.0281712 GoogleRoll, 0.0100718
pack:0 ax, -2.04982 ay, -1.48125 az, 9.20407
GoogleYaw, 0.328409 GooglePitch, -0.0281712 GoogleRoll, 0.0100718
pack:0 ax, -2.04982 ay, -1.48125 az, 9.20407
GoogleYaw, 0.328409 GooglePitch, -0.0281712 GoogleRoll, 0.0100718
pack:0 ax, -2.04982 ay, -1.48125 az, 9.20407
GoogleYaw, 0.327922 GooglePitch, -0.0282037 GoogleRoll, 0.0109251
pack:0 ax, -2.04982 ay, -1.48125 az, 9.20407
GoogleYaw, 0.327922 GooglePitch, -0.0282037 GoogleRoll, 0.0109251
pack:0 ax, -0.269302 ay, -0.233932 az, 9.98721
GoogleYaw, 0.327922 GooglePitch, -0.0282037 GoogleRoll, 0.0109251
pack:0 ax, -0.269302 ay, -0.233932 az, 9.98721
GoogleYaw, 0.327922 GooglePitch, -0.0282037 GoogleRoll, 0.0109251
pack:0 ax, -0.269302 ay, -0.233932 az, 9.98721
GoogleYaw, 0.327922 GooglePitch, -0.0282037 GoogleRoll, 0.0109251
pack:0 ax, -0.269302 ay, -0.233932 az, 9.98721
GoogleYaw, 0.301199 GooglePitch, -0.0222487 GoogleRoll, 0.0180953
pack:0 ax, 2.57286 ay, 1.51088 az, 8.26144
GoogleYaw, 0.301199 GooglePitch, -0.0222487 GoogleRoll, 0.0180953
pack:0 ax, 2.57286 ay, 1.51088 az, 8.26144
GoogleYaw, 0.301199 GooglePitch, -0.0222487 GoogleRoll, 0.0180953
pack:0 ax, 2.57286 ay, 1.51088 az, 8.26144
GoogleYaw, 0.273986 GooglePitch, -0.0204082 GoogleRoll, 0.0185478
pack:0 ax, -0.50972 ay, 1.01576 az, 11.1536
GoogleYaw, 0.273986 GooglePitch, -0.0204082 GoogleRoll, 0.0185478
pack:0 ax, -0.50972 ay, 1.01576 az, 11.1536
GoogleYaw, 0.273986 GooglePitch, -0.0204082 GoogleRoll, 0.0185478
pack:0 ax, -0.50972 ay, 1.01576 az, 11.1536
GoogleYaw, 0.259158 GooglePitch, -0.0144457 GoogleRoll, 0.0106592
pack:0 ax, -0.416885 ay, -0.60051 az, 9.94199
GoogleYaw, 0.259158 GooglePitch, -0.0144457 GoogleRoll, 0.0106592
pack:0 ax, -0.416885 ay, -0.60051 az, 9.94199
GoogleYaw, 0.255651 GooglePitch, -0.00489723 GoogleRoll, 0.00325811
pack:0 ax, -1.11909 ay, -1.04326 az, 9.93484
GoogleYaw, 0.255651 GooglePitch, -0.00489723 GoogleRoll, 0.00325811
pack:0 ax, -1.11909 ay, -1.04326 az, 9.93484
GoogleYaw, 0.255651 GooglePitch, -0.00489723 GoogleRoll, 0.00325811
pack:0 ax, -1.11909 ay, -1.04326 az, 9.93484
GoogleYaw, 0.255956 GooglePitch, 0.00204276 GoogleRoll, 0.00100869
pack:0 ax, -1.02388 ay, -0.629074 az, 9.86581
GoogleYaw, 0.255956 GooglePitch, 0.00204276 GoogleRoll, 0.00100869
pack:0 ax, -1.02388 ay, -0.629074 az, 9.86581
GoogleYaw, 0.253579 GooglePitch, 0.0100271 GoogleRoll, -0.00411398
pack:0 ax, 0.768539 ay, -0.119675 az, 9.95627
GoogleYaw, 0.253579 GooglePitch, 0.0100271 GoogleRoll, -0.00411398
pack:0 ax, 0.768539 ay, -0.119675 az, 9.95627
GoogleYaw, 0.253579 GooglePitch, 0.0100271 GoogleRoll, -0.00411398
pack:0 ax, 0.768539 ay, -0.119675 az, 9.95627
GoogleYaw, 0.244745 GooglePitch, 0.021198 GoogleRoll, -0.0181168
pack:0 ax, 0.768539 ay, -0.119675 az, 9.95627
GoogleYaw, 0.244745 GooglePitch, 0.021198 GoogleRoll, -0.0181168
pack:0 ax, 2.70616 ay, -0.241074 az, 15.4216
GoogleYaw, 0.244745 GooglePitch, 0.021198 GoogleRoll, -0.0181168
pack:0 ax, 2.70616 ay, -0.241074 az, 15.4216
GoogleYaw, 0.244745 GooglePitch, 0.021198 GoogleRoll, -0.0181168
pack:0 ax, 2.70616 ay, -0.241074 az, 15.4216
GoogleYaw, 0.236021 GooglePitch, 0.0302451 GoogleRoll, -0.0425187
pack:0 ax, 1.55644 ay, 0.306412 az, 16.3523
GoogleYaw, 0.236021 GooglePitch, 0.0302451 GoogleRoll, -0.0425187
pack:0 ax, 1.55644 ay, 0.306412 az, 16.3523
GoogleYaw, 0.236021 GooglePitch, 0.0302451 GoogleRoll, -0.0425187
pack:0 ax, 1.55644 ay, 0.306412 az, 16.3523
GoogleYaw, 0.236021 GooglePitch, 0.0302451 GoogleRoll, -0.0425187
pack:0 ax, 1.55644 ay, 0.306412 az, 16.3523
GoogleYaw, 0.23198 GooglePitch, 0.0271014 GoogleRoll, -0.068446
pack:0 ax, 2.17772 ay, 0.511124 az, 17.1045
GoogleYaw, 0.23198 GooglePitch, 0.0271014 GoogleRoll, -0.068446
pack:0 ax, 2.17772 ay, 0.511124 az, 17.1045
GoogleYaw, 0.23198 GooglePitch, 0.0271014 GoogleRoll, -0.068446
pack:0 ax, 2.17772 ay, 0.511124 az, 17.1045
GoogleYaw, 0.23198 GooglePitch, 0.0271014 GoogleRoll, -0.068446
pack:0 ax, 2.17772 ay, 0.511124 az, 17.1045
GoogleYaw, 0.22852 GooglePitch, 0.00641586 GoogleRoll, -0.091641
pack:0 ax, 1.75163 ay, 0.0636139 az, 14.8408
GoogleYaw, 0.22852 GooglePitch, 0.00641586 GoogleRoll, -0.091641
pack:0 ax, 1.75163 ay, 0.0636139 az, 14.8408
GoogleYaw, 0.225198 GooglePitch, -0.0337119 GoogleRoll, -0.119946
pack:0 ax, 2.62999 ay, 0.670609 az, 12.0938
GoogleYaw, 0.225198 GooglePitch, -0.0337119 GoogleRoll, -0.119946
pack:0 ax, 2.62999 ay, 0.670609 az, 12.0938
GoogleYaw, 0.225198 GooglePitch, -0.0337119 GoogleRoll, -0.119946
pack:0 ax, 2.62999 ay, 0.670609 az, 12.0938
GoogleYaw, 0.219125 GooglePitch, -0.0919593 GoogleRoll, -0.158822
pack:0 ax, 4.00584 ay, 1.88222 az, 10.4728
GoogleYaw, 0.219125 GooglePitch, -0.0919593 GoogleRoll, -0.158822
pack:0 ax, 4.00584 ay, 1.88222 az, 10.4728
GoogleYaw, 0.219125 GooglePitch, -0.0919593 GoogleRoll, -0.158822
pack:0 ax, 4.00584 ay, 1.88222 az, 10.4728
GoogleYaw, 0.219125 GooglePitch, -0.0919593 GoogleRoll, -0.158822
pack:0 ax, 4.00584 ay, 1.88222 az, 10.4728
GoogleYaw, 0.210366 GooglePitch, -0.161698 GoogleRoll, -0.212908
pack:0 ax, 3.4417 ay, 2.19881 az, 10.5918
GoogleYaw, 0.210366 GooglePitch, -0.161698 GoogleRoll, -0.212908
pack:0 ax, 3.4417 ay, 2.19881 az, 10.5918
GoogleYaw, 0.210366 GooglePitch, -0.161698 GoogleRoll, -0.212908
pack:0 ax, 3.4417 ay, 2.19881 az, 10.5918
GoogleYaw, 0.201351 GooglePitch, -0.235707 GoogleRoll, -0.279286
pack:0 ax, 4.8485 ay, 3.12715 az, 9.27072
GoogleYaw, 0.201351 GooglePitch, -0.235707 GoogleRoll, -0.279286
pack:0 ax, 4.8485 ay, 3.12715 az, 9.27072
GoogleYaw, 0.201351 GooglePitch, -0.235707 GoogleRoll, -0.279286
pack:0 ax, 4.8485 ay, 3.12715 az, 9.27072
GoogleYaw, 0.201351 GooglePitch, -0.235707 GoogleRoll, -0.279286
pack:0 ax, 4.8485 ay, 3.12715 az, 9.27072
GoogleYaw, 0.191935 GooglePitch, -0.310009 GoogleRoll, -0.349007
pack:0 ax, 4.66283 ay, 3.26283 az, 8.91605
GoogleYaw, 0.191935 GooglePitch, -0.310009 GoogleRoll, -0.349007
pack:0 ax, 4.66283 ay, 3.26283 az, 8.91605
GoogleYaw, 0.191935 GooglePitch, -0.310009 GoogleRoll, -0.349007
pack:0 ax, 4.66283 ay, 3.26283 az, 8.91605
GoogleYaw, 0.183228 GooglePitch, -0.383733 GoogleRoll, -0.419852
pack:0 ax, 3.44408 ay, 3.08907 az, 8.121
GoogleYaw, 0.183228 GooglePitch, -0.383733 GoogleRoll, -0.419852
pack:0 ax, 3.44408 ay, 3.08907 az, 8.121
GoogleYaw, 0.183228 GooglePitch, -0.383733 GoogleRoll, -0.419852
pack:0 ax, 3.44408 ay, 3.08907 az, 8.121
GoogleYaw, 0.172785 GooglePitch, -0.456132 GoogleRoll, -0.48804
pack:0 ax, 4.23674 ay, 4.24355 az, 6.0834
GoogleYaw, 0.172785 GooglePitch, -0.456132 GoogleRoll, -0.48804
pack:0 ax, 4.23674 ay, 4.24355 az, 6.0834
GoogleYaw, 0.15786 GooglePitch, -0.525683 GoogleRoll, -0.550087
pack:0 ax, 4.90324 ay, 4.81245 az, 6.32382
GoogleYaw, 0.15786 GooglePitch, -0.525683 GoogleRoll, -0.550087
pack:0 ax, 4.90324 ay, 4.81245 az, 6.32382
GoogleYaw, 0.15786 GooglePitch, -0.525683 GoogleRoll, -0.550087
pack:0 ax, 4.90324 ay, 4.81245 az, 6.32382
GoogleYaw, 0.15786 GooglePitch, -0.525683 GoogleRoll, -0.550087
pack:0 ax, 4.90324 ay, 4.81245 az, 6.32382
GoogleYaw, 0.138069 GooglePitch, -0.591573 GoogleRoll, -0.614471
pack:0 ax, 5.28886 ay, 5.21712 az, 5.99533
GoogleYaw, 0.138069 GooglePitch, -0.591573 GoogleRoll, -0.614471
pack:0 ax, 5.28886 ay, 5.21712 az, 5.99533
GoogleYaw, 0.138069 GooglePitch, -0.591573 GoogleRoll, -0.614471
pack:0 ax, 5.28886 ay, 5.21712 az, 5.99533
GoogleYaw, 0.138069 GooglePitch, -0.591573 GoogleRoll, -0.614471
pack:0 ax, 5.28886 ay, 5.21712 az, 5.99533
GoogleYaw, 0.115403 GooglePitch, -0.654505 GoogleRoll, -0.682086
pack:0 ax, 4.3629 ay, 4.71724 az, 4.44333
GoogleYaw, 0.115403 GooglePitch, -0.654505 GoogleRoll, -0.682086
pack:0 ax, 4.3629 ay, 4.71724 az, 4.44333
GoogleYaw, 0.115403 GooglePitch, -0.654505 GoogleRoll, -0.682086
pack:0 ax, 4.3629 ay, 4.71724 az, 4.44333
GoogleYaw, 0.115403 GooglePitch, -0.654505 GoogleRoll, -0.682086
pack:0 ax, 4.3629 ay, 4.71724 az, 4.44333
GoogleYaw, 0.0889158 GooglePitch, -0.717045 GoogleRoll, -0.749524
pack:0 ax, 3.65593 ay, 5.10762 az, 2.93179
GoogleYaw, 0.0889158 GooglePitch, -0.717045 GoogleRoll, -0.749524
pack:0 ax, 3.65593 ay, 5.10762 az, 2.93179
GoogleYaw, 0.0889158 GooglePitch, -0.717045 GoogleRoll, -0.749524
pack:0 ax, 3.65593 ay, 5.10762 az, 2.93179
GoogleYaw, 0.0889158 GooglePitch, -0.717045 GoogleRoll, -0.749524
pack:0 ax, 3.65593 ay, 5.10762 az, 2.93179
