pack:0 ax, -3.96364 ay, 3.26045 az, 2.43668
GoogleYaw, -1.17599 GooglePitch, -1.41763 GoogleRoll, 0.90368
pack:0 ax, -3.96364 ay, 3.26045 az, 2.43668
GoogleYaw, -1.79511 GooglePitch, -1.48139 GoogleRoll, 0.285766
pack:0 ax, -3.96364 ay, 3.26045 az, 2.43668
GoogleYaw, -1.79511 GooglePitch, -1.48139 GoogleRoll, 0.285766
pack:0 ax, -3.96364 ay, 3.26045 az, 2.43668
GoogleYaw, -1.79511 GooglePitch, -1.48139 GoogleRoll, 0.285766
pack:0 ax, -3.78273 ay, 1.45375 az, -0.574493
GoogleYaw, -1.79511 GooglePitch, -1.48139 GoogleRoll, 0.285766
pack:0 ax, -3.78273 ay, 1.45375 az, -0.574493
GoogleYaw, -1.79511 GooglePitch, -1.48139 GoogleRoll, 0.285766
pack:0 ax, -3.78273 ay, 1.45375 az, -0.574493
GoogleYaw, -2.7959 GooglePitch, -1.47391 GoogleRoll, -0.710348
pack:0 ax, -3.78273 ay, 1.45375 az, -0.574493
GoogleYaw, -2.7959 GooglePitch, -1.47391 GoogleRoll, -0.710348
pack:0 ax, -0.583511 ay, 1.37282 az, -1.68851
GoogleYaw, -2.7959 GooglePitch, -1.47391 GoogleRoll, -0.710348
pack:0 ax, -0.583511 ay, 1.37282 az, -1.68851
GoogleYaw, -2.7959 GooglePitch, -1.47391 GoogleRoll, -0.710348
pack:0 ax, -0.583511 ay, 1.37282 az, -1.68851
GoogleYaw, -2.7959 GooglePitch, -1.47391 GoogleRoll, -0.710348
pack:0 ax, -0.583511 ay, 1.37282 az, -1.68851
GoogleYaw, 2.97729 GooglePitch, -1.40029 GoogleRoll, -1.20837
pack:0 ax, 0.0115814 ay, 0.951492 az, -0.0341492
GoogleYaw, 2.97729 GooglePitch, -1.40029 GoogleRoll, -1.20837
pack:0 ax, 0.0115814 ay, 0.951492 az, -0.0341492
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 0.0115814 ay, 0.951492 az, -0.0341492
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 0.0115814 ay, 0.951492 az, -0.0341492
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 2.64665 ay, 0.642044 az, 0.563324
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 2.64665 ay, 0.642044 az, 0.563324
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 2.64665 ay, 0.642044 az, 0.563324
GoogleYaw, 2.81482 GooglePitch, -1.31178 GoogleRoll, -1.35906
pack:0 ax, 2.64665 ay, 0.642044 az, 0.563324
GoogleYaw, 2.74603 GooglePitch, -1.22049 GoogleRoll, -1.42004
pack:0 ax, 5.57213 ay, -0.176804 az, -0.61734
GoogleYaw, 2.74603 GooglePitch, -1.22049 GoogleRoll, -1.42004
pack:0 ax, 5.57213 ay, -0.176804 az, -0.61734
GoogleYaw, 2.74603 GooglePitch, -1.22049 GoogleRoll, -1.42004
pack:0 ax, 5.57213 ay, -0.176804 az, -0.61734
GoogleYaw, 2.74603 GooglePitch, -1.22049 GoogleRoll, -1.42004
pack:0 ax, 5.57213 ay, -0.176804 az, -0.61734
GoogleYaw, 2.70486 GooglePitch, -1.13171 GoogleRoll, -1.45575
pack:0 ax, 4.75804 ay, 0.111221 az, -0.186493
GoogleYaw, 2.70486 GooglePitch, -1.13171 GoogleRoll, -1.45575
pack:0 ax, 4.75804 ay, 0.111221 az, -0.186493
GoogleYaw, 2.6797 GooglePitch, -1.05276 GoogleRoll, -1.47658
pack:0 ax, 4.75804 ay, 0.111221 az, -0.186493
GoogleYaw, 2.6797 GooglePitch, -1.05276 GoogleRoll, -1.47658
pack:0 ax, 4.75804 ay, 0.111221 az, -0.186493
