GoogleYaw, -0.896314 GooglePitch, -0.0269757 GoogleRoll, 0.0036676
pack:0 ax, -0.0193634 ay, 0.277847 az, 9.70871
GoogleYaw, -0.896314 GooglePitch, -0.0269757 GoogleRoll, 0.0036676
pack:0 ax, -0.0193634 ay, 0.277847 az, 9.70871
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.277847 az, 9.70871
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.277847 az, 9.70871
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.67776
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.67776
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.67776
GoogleYaw, -0.896212 GooglePitch, -0.0268837 GoogleRoll, 0.00369398
pack:0 ax, -0.0193634 ay, 0.265945 az, 9.67776
GoogleYaw, -0.896233 GooglePitch, -0.0269285 GoogleRoll, 0.00365536
pack:0 ax, -0.0384064 ay, 0.246902 az, 9.73013
GoogleYaw, -0.896233 GooglePitch, -0.0269285 GoogleRoll, 0.00365536
pack:0 ax, -0.0384064 ay, 0.246902 az, 9.73013
GoogleYaw, -0.896233 GooglePitch, -0.0269285 GoogleRoll, 0.00365536
pack:0 ax, -0.0384064 ay, 0.246902 az, 9.73013
GoogleYaw, -0.896233 GooglePitch, -0.0269285 GoogleRoll, 0.00365536
pack:0 ax, -0.0384064 ay, 0.246902 az, 9.73013
GoogleYaw, -0.896151 GooglePitch, -0.0269241 GoogleRoll, 0.00358726
pack:0 ax, -0.0407867 ay, 0.254044 az, 9.78488
GoogleYaw, -0.896047 GooglePitch, -0.02686 GoogleRoll, 0.00357525
pack:0 ax, -0.00984192 ay, 0.237381 az, 9.74918
GoogleYaw, -0.896047 GooglePitch, -0.02686 GoogleRoll, 0.00357525
pack:0 ax, -0.00984192 ay, 0.237381 az, 9.74918
GoogleYaw, -0.896011 GooglePitch, -0.0268381 GoogleRoll, 0.00357142
pack:0 ax, -0.0431671 ay, 0.265945 az, 9.73965
GoogleYaw, -0.896011 GooglePitch, -0.0268381 GoogleRoll, 0.00357142
pack:0 ax, -0.0431671 ay, 0.265945 az, 9.73965
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0431671 ay, 0.265945 az, 9.73965
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0431671 ay, 0.265945 az, 9.73965
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0384064 ay, 0.220718 az, 9.78964
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0384064 ay, 0.220718 az, 9.78964
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0384064 ay, 0.220718 az, 9.78964
GoogleYaw, -0.89578 GooglePitch, -0.0267531 GoogleRoll, 0.00347303
pack:0 ax, -0.0384064 ay, 0.220718 az, 9.78964
GoogleYaw, -0.895821 GooglePitch, -0.0267588 GoogleRoll, 0.00350224
pack:0 ax, -0.0217438 ay, 0.239761 az, 9.73489
GoogleYaw, -0.895821 GooglePitch, -0.0267588 GoogleRoll, 0.00350224
pack:0 ax, -0.0217438 ay, 0.239761 az, 9.73489
GoogleYaw, -0.895821 GooglePitch, -0.0267588 GoogleRoll, 0.00350224
pack:0 ax, -0.0217438 ay, 0.239761 az, 9.73489
GoogleYaw, -0.895821 GooglePitch, -0.0267588 GoogleRoll, 0.00350224
pack:0 ax, -0.0217438 ay, 0.239761 az, 9.73489
GoogleYaw, -0.89563 GooglePitch, -0.0266158 GoogleRoll, 0.0035136
pack:0 ax, -0.0384064 ay, 0.29689 az, 9.81345
GoogleYaw, -0.89563 GooglePitch, -0.0266158 GoogleRoll, 0.0035136
pack:0 ax, -0.0384064 ay, 0.29689 az, 9.81345
GoogleYaw, -0.895481 GooglePitch, -0.0265476 GoogleRoll, 0.00346809
pack:0 ax, 0.0139618 ay, 0.273087 az, 9.72775
GoogleYaw, -0.895665 GooglePitch, -0.0266591 GoogleRoll, 0.00349008
pack:0 ax, -0.036026 ay, 0.244522 az, 9.70395
GoogleYaw, -0.895665 GooglePitch, -0.0266591 GoogleRoll, 0.00349008
pack:0 ax, -0.036026 ay, 0.244522 az, 9.70395
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.036026 ay, 0.244522 az, 9.70395
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.036026 ay, 0.244522 az, 9.70395
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.0241241 ay, 0.273087 az, 9.71823
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.0241241 ay, 0.273087 az, 9.71823
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.0241241 ay, 0.273087 az, 9.71823
GoogleYaw, -0.895566 GooglePitch, -0.0267038 GoogleRoll, 0.00334388
pack:0 ax, -0.0241241 ay, 0.273087 az, 9.71823
GoogleYaw, -0.895528 GooglePitch, -0.0266619 GoogleRoll, 0.00336369
pack:0 ax, -0.0193634 ay, 0.237381 az, 9.67062
GoogleYaw, -0.895528 GooglePitch, -0.0266619 GoogleRoll, 0.00336369
pack:0 ax, -0.0193634 ay, 0.237381 az, 9.67062
GoogleYaw, -0.895528 GooglePitch, -0.0266619 GoogleRoll, 0.00336369
pack:0 ax, -0.0193634 ay, 0.237381 az, 9.67062
GoogleYaw, -0.895528 GooglePitch, -0.0266619 GoogleRoll, 0.00336369
pack:0 ax, -0.0193634 ay, 0.237381 az, 9.67062
GoogleYaw, -0.895569 GooglePitch, -0.0267073 GoogleRoll, 0.00334195
pack:0 ax, -0.0193634 ay, 0.254044 az, 9.78726
GoogleYaw, -0.895569 GooglePitch, -0.0267073 GoogleRoll, 0.00334195
pack:0 ax, -0.0193634 ay, 0.254044 az, 9.78726
GoogleYaw, -0.895448 GooglePitch, -0.026644 GoogleRoll, 0.00331501
pack:0 ax, 0.00205994 ay, 0.225479 az, 9.74442
GoogleYaw, -0.895385 GooglePitch, -0.0266291 GoogleRoll, 0.00327741
pack:0 ax, -0.0384064 ay, 0.258804 az, 9.7587
GoogleYaw, -0.895385 GooglePitch, -0.0266291 GoogleRoll, 0.00327741
pack:0 ax, -0.0384064 ay, 0.258804 az, 9.7587
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0384064 ay, 0.258804 az, 9.7587
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0384064 ay, 0.258804 az, 9.7587
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.76584
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.76584
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.76584
GoogleYaw, -0.895098 GooglePitch, -0.0265208 GoogleRoll, 0.00315841
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.76584
